"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ActiviteSociale","ActiviteSociale","ActiviteSociale","","","",0,*,"","","","null {[]} {[]}
","Les équipements sociaux représentent les activités des établissements du domaine social et médico-social enregistrés dans FINESS.Le champ de FINESS comprend l’ensemble des établissements et services sociaux et médico-sociaux (ESSMS), soumis à autorisation préalable, ainsi que quelques catégories d’établissements n’entrant pas dans le régime de l’autorisation.Pour indiquer les services offerts, FINESS identifie ceux-ci à l'aide d'un triplet composé des éléments suivants : discipline d’équipement, mode de fonctionnement (appelé aussi type d’activité) et clientèle.","Les équipements sociaux représentent les activités des établissements du domaine social et médico-social enregistrés dans FINESS.Le champ de FINESS comprend l’ensemble des établissements et services sociaux et médico-sociaux (ESSMS), soumis à autorisation préalable, ainsi que quelques catégories d’établissements n’entrant pas dans le régime de l’autorisation.Pour indiquer les services offerts, FINESS identifie ceux-ci à l'aide d'un triplet composé des éléments suivants : discipline d’équipement, mode de fonctionnement (appelé aussi type d’activité) et clientèle.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ActiviteSociale","ActiviteSociale.dateAutorisation","ActiviteSociale.dateAutorisation","","","",0,1,"","","","date {[]} {[]}
","Date de délivrance de l'autorisation de la discipline sociale.","Date de délivrance de l'autorisation de la discipline sociale.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.dateAutorisation",0,1,"",""
"ActiviteSociale","ActiviteSociale.dateMajAutorisation","ActiviteSociale.dateMajAutorisation","","","",0,1,"","","","date {[]} {[]}
","Date de dernière mise à jour de l’autorisation.","Date de dernière mise à jour de l’autorisation.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.dateMajAutorisation",0,1,"",""
"ActiviteSociale","ActiviteSociale.dateDerniereInstallation","ActiviteSociale.dateDerniereInstallation","","","",0,1,"","","","date {[]} {[]}
","Date à laquelle le dernier constat d’installation des places est réalisé.","Date à laquelle le dernier constat d’installation des places est réalisé.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.dateDerniereInstallation",0,1,"",""
"ActiviteSociale","ActiviteSociale.agregatDisciplineEquipementSocialeNiv1","ActiviteSociale.agregatDisciplineEquipementSocialeNiv1","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de discipline d'équipement sociale de niveau 1. L'agrégat de niveau 1 représente des regroupements d'agrégat de niveau 2.","Agrégat de discipline d'équipement sociale de niveau 1. L'agrégat de niveau 1 représente des regroupements d'agrégat de niveau 2.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R298-AgregatDisciplineEquipSocNiv1/FHIR/TRE-R298-AgregatDisciplineEquipSocNiv1?vs","",,,,"ActiviteSociale.agregatDisciplineEquipementSocialeNiv1",0,1,"",""
"ActiviteSociale","ActiviteSociale.agregatDisciplineEquipementSocialeNiv2","ActiviteSociale.agregatDisciplineEquipementSocialeNiv2","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de discipline d'équipement sociale de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégat de niveau 3.","Agrégat de discipline d'équipement sociale de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégat de niveau 3.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R299-AgregatDisciplineEquipSocNiv2/FHIR/TRE-R299-AgregatDisciplineEquipSocNiv2?vs","",,,,"ActiviteSociale.agregatDisciplineEquipementSocialeNiv2",0,1,"",""
"ActiviteSociale","ActiviteSociale.agregatDisciplineEquipementSocialeNiv3","ActiviteSociale.agregatDisciplineEquipementSocialeNiv3","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de discipline d'équipement sociale de niveau 3. L'agrégat de niveau 3 représente des regroupements de disciplines d'équipement.","Agrégat de discipline d'équipement sociale de niveau 3. L'agrégat de niveau 3 représente des regroupements de disciplines d'équipement.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R300-AgregatDisciplineEquipSocNiv3/FHIR/TRE-R300-AgregatDisciplineEquipSocNiv3?vs","",,,,"ActiviteSociale.agregatDisciplineEquipementSocialeNiv3",0,1,"",""
"ActiviteSociale","ActiviteSociale.disciplineEquipementSociale","ActiviteSociale.disciplineEquipementSociale","","","",0,1,"","","","Coding {[]} {[]}
","La discipline détermine la nature de l’activité.","La discipline détermine la nature de l’activité.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R280-DisciplineEquipementSocial/FHIR/TRE-R280-DisciplineEquipementSocial?vs","",,,,"ActiviteSociale.disciplineEquipementSociale",0,1,"",""
"ActiviteSociale","ActiviteSociale.modeFonctionnement","ActiviteSociale.modeFonctionnement","","","",0,1,"","","","Coding {[]} {[]}
","Le mode de fonctionnement précise la modalité d’accueil, d’hébergement et/ou d’ouverture de l’activité associée à la discipline (hébergement complet, externat, accueil de nuit…)Synonyme : type d'activité","Le mode de fonctionnement précise la modalité d’accueil, d’hébergement et/ou d’ouverture de l’activité associée à la discipline (hébergement complet, externat, accueil de nuit…)Synonyme : type d'activité","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R209-TypeActivite/FHIR/TRE-R209-TypeActivite?vs","",,,,"ActiviteSociale.modeFonctionnement",0,1,"",""
"ActiviteSociale","ActiviteSociale.agregatClienteleNiv2","ActiviteSociale.agregatClienteleNiv2","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de clientèle de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégat de niveau 3.","Agrégat de clientèle de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégat de niveau 3.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R293-AgregatClienteleNiv2/FHIR/TRE-R293-AgregatClienteleNiv2?vs","",,,,"ActiviteSociale.agregatClienteleNiv2",0,1,"",""
"ActiviteSociale","ActiviteSociale.agregatClienteleNiv3","ActiviteSociale.agregatClienteleNiv3","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de clientèle de niveau 3. L'agrégat de niveau 3 représente des regroupements de clientèles.","Agrégat de clientèle de niveau 3. L'agrégat de niveau 3 représente des regroupements de clientèles.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R294-AgregatClienteleNiv3/FHIR/TRE-R294-AgregatClienteleNiv3?vs","",,,,"ActiviteSociale.agregatClienteleNiv3",0,1,"",""
"ActiviteSociale","ActiviteSociale.clientele","ActiviteSociale.clientele","","","",0,1,"","","","Coding {[]} {[]}
","Population prise en charge par l’établissement dans le cadre de l’activité associée à la discipline.Synonyme : public, patientèle","Population prise en charge par l’établissement dans le cadre de l’activité associée à la discipline.Synonyme : public, patientèle","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R279-Clientele/FHIR/TRE-R279-Clientele?vs","",,,,"ActiviteSociale.clientele",0,1,"",""
"ActiviteSociale","ActiviteSociale.ageMinAutorise","ActiviteSociale.ageMinAutorise","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Patientele {[]} {[]}
","Age minimum de la clientèle autorisée.","Age minimum de la clientèle autorisée.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.ageMinAutorise",0,1,"",""
"ActiviteSociale","ActiviteSociale.ageMaxAutorise","ActiviteSociale.ageMaxAutorise","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Patientele {[]} {[]}
","Age maximum de la clientèle autorisée.","Age maximum de la clientèle autorisée.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.ageMaxAutorise",0,1,"",""
"ActiviteSociale","ActiviteSociale.ageMinInstalle","ActiviteSociale.ageMinInstalle","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Patientele {[]} {[]}
","Age minimum de la clientèle installée.","Age minimum de la clientèle installée.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.ageMinInstalle",0,1,"",""
"ActiviteSociale","ActiviteSociale.ageMaxInstalle","ActiviteSociale.ageMaxInstalle","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Patientele {[]} {[]}
","Age maximum de la clientèle installée.","Age maximum de la clientèle installée.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.ageMaxInstalle",0,1,"",""
"ActiviteSociale","ActiviteSociale.suppressionAutorisation","ActiviteSociale.suppressionAutorisation","","","",0,1,"","","","boolean {[]} {[]}
","Indicateur de suppression de l'autorisation de l'activité sociale.","Indicateur de suppression de l'autorisation de l'activité sociale.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.suppressionAutorisation",0,1,"",""
"ActiviteSociale","ActiviteSociale.suppressionInstallation","ActiviteSociale.suppressionInstallation","","","",0,1,"","","","boolean {[]} {[]}
","Indicateur de suppression de l’installation de l'activité sociale.","Indicateur de suppression de l’installation de l'activité sociale.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.suppressionInstallation",0,1,"",""
"ActiviteSociale","ActiviteSociale.sourceInformationInstallation","ActiviteSociale.sourceInformationInstallation","","","",0,1,"","","","Coding {[]} {[]}
","Source ayant permis le constat.","Source ayant permis le constat.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R301-SourceInformationInstallation/FHIR/TRE-R301-SourceInformationInstallation?vs","",,,,"ActiviteSociale.sourceInformationInstallation",0,1,"",""
"ActiviteSociale","ActiviteSociale.EntiteGeographique","ActiviteSociale.EntiteGeographique","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/EntiteGeographique {[]} {[]}
","Lien vers la classe EntiteGeographique","Lien vers la classe EntiteGeographique","","","","","","","","","",,,,,"",,,,"ActiviteSociale.EntiteGeographique",1,1,"",""
"ActiviteSociale","ActiviteSociale.CapaciteActiviteExercee","ActiviteSociale.CapaciteActiviteExercee","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/CapaciteActiviteExercee {[]} {[]}
","Lien vers la classe CapaciteActiviteExercee","Lien vers la classe CapaciteActiviteExercee","","","","","","","","","",,,,,"",,,,"ActiviteSociale.CapaciteActiviteExercee",0,*,"",""
"ActiviteSociale","ActiviteSociale.CapaciteHabitation","ActiviteSociale.CapaciteHabitation","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/CapaciteHabitation {[]} {[]}
","Lien vers la classe CapaciteHabitation","Lien vers la classe CapaciteHabitation","","","","","","","","","",,,,,"",,,,"ActiviteSociale.CapaciteHabitation",0,1,"",""
"ActiviteSoinAutorisee","ActiviteSoinAutorisee","ActiviteSoinAutorisee","","","",0,*,"","","","null {[]} {[]}
","On distingue plusieurs types d’activités sanitaires rattachées aux établissements FINESS en fonction de la pièce justificative et du cadre réglementaire. Cette classe décrit uniquement les activités de type «activités de soins» (acronyme communément utilisé : AS).Les activités de soins sont les activités des établissements sanitaires autorisées par arrêté du Directeur Général de l’ARS dans le cadre de l’article L. 6122-1 du CSP, pour une durée de 7 ans, durée fixe par voie réglementaire.D’après l’article L. 6122-1 du CSP, sont soumis à l’autorisation de l’agence régionale de santé les projets relatifs à la création de tout établissement de santé, la création, la conversion et le regroupement des activités de soins, y compris sous la forme d’alternatives à l’hospitalisation ou d’hospitalisation à domicile. La liste des activités de soins est fixée par décret en Conseil d’État. L’article R. 6122-25 du CSP référence ces activités de soins.Toute activité de soins fait l’objet d’un arrêté qui mentionne sa nature (triplet activité, modalité, forme, cf. plus bas), le numéro FINESS de l’entité juridique responsable (EJ) et le numéro FINESS de l’établissement (i.e. l’entité géographique, EG) dans lequel elle est implantée (synonyme : mise en œuvre). La modélisation actuelle prévoit que l’EG d’implantation est toujours rattachée juridiquement à l’EJ dans FINESS.La nomenclature est articulée en trois niveaux systématiquement renseignés : ** Activité de soins.** Modalité : la modalité est le mode d’application ou de type de soins prévu par les textes réglementaires encadrant chaque activité de soins. C’est une pratique thérapeutique. ** Forme : la forme est le type d’organisation de prise en charge.Dans cette classe : ** Les attributs sont nommés conformément aux notions du SI mutualisé des ARS «ARHGOS» qui est propriétaire des données des activités de soins.** Les données publiées par l’ANS proviennent du SI FINESS qui les reçoit du SI ARHGOS :     ** Une autorisation est « active » à la date du jour si :          ** sa date de première mise en œuvre est renseignée et inférieure ou égale à la date du jour;          ** sa date d'échéance est supérieure ou égale à la date du jour.     ** Dans FINESS, les attributs peuvent être nommés de manière différente du SI source ARHGOS : dans ce cas, le synonyme FINESS de l’attribut est indiqué dans la colonne description.     ** De rares attributs sont spécifiques à FINESS.Le périmètre des autorisations des activités de soins présentes dans FINESS recouvre :1- Les autorisations en attente de première mise en œuvre : la date de début (i.e. date de première mise en œuvre) n'est pas renseignée ou supérieure à la date du jour;2- Les autorisations actives:      ** la date début (i.e. date de première mise en œuvre) est renseignée et inférieure ou égale à la date du jour,     ** la date de fin est supérieure ou égale à la date du jour;3- Les autorisations échues, dont la date de fin est inférieure à la date du jour, et qui couvrent plusieurs cas :     a- Le renouvellement est en cours d’instruction (cas le plus courant),     b- Un autre événement (injonction, changement d’implantation,…) est en cours d’instruction au vu du dossier,     c- L’autorisation va devenir caduque, après quoi elle ne sera plus présente dans FINESS;     Dans chacun des 3 cas (a, b, c), la mise à jour dans les bases de données va avoir lieu (SI ARHGOS > SI FINESS > service de publication annuaire santé de l'ANS).     En attendant la mise à jour des bases de données, il est possible de considérer les autorisations échues présentes dans FINESS comme toujours actives.     Les autorisations caduques ou retirées ne sont pas présentes dans FINESS.","On distingue plusieurs types d’activités sanitaires rattachées aux établissements FINESS en fonction de la pièce justificative et du cadre réglementaire. Cette classe décrit uniquement les activités de type «activités de soins» (acronyme communément utilisé : AS).Les activités de soins sont les activités des établissements sanitaires autorisées par arrêté du Directeur Général de l’ARS dans le cadre de l’article L. 6122-1 du CSP, pour une durée de 7 ans, durée fixe par voie réglementaire.D’après l’article L. 6122-1 du CSP, sont soumis à l’autorisation de l’agence régionale de santé les projets relatifs à la création de tout établissement de santé, la création, la conversion et le regroupement des activités de soins, y compris sous la forme d’alternatives à l’hospitalisation ou d’hospitalisation à domicile. La liste des activités de soins est fixée par décret en Conseil d’État. L’article R. 6122-25 du CSP référence ces activités de soins.Toute activité de soins fait l’objet d’un arrêté qui mentionne sa nature (triplet activité, modalité, forme, cf. plus bas), le numéro FINESS de l’entité juridique responsable (EJ) et le numéro FINESS de l’établissement (i.e. l’entité géographique, EG) dans lequel elle est implantée (synonyme : mise en œuvre). La modélisation actuelle prévoit que l’EG d’implantation est toujours rattachée juridiquement à l’EJ dans FINESS.La nomenclature est articulée en trois niveaux systématiquement renseignés : ** Activité de soins.** Modalité : la modalité est le mode d’application ou de type de soins prévu par les textes réglementaires encadrant chaque activité de soins. C’est une pratique thérapeutique. ** Forme : la forme est le type d’organisation de prise en charge.Dans cette classe : ** Les attributs sont nommés conformément aux notions du SI mutualisé des ARS «ARHGOS» qui est propriétaire des données des activités de soins.** Les données publiées par l’ANS proviennent du SI FINESS qui les reçoit du SI ARHGOS :     ** Une autorisation est « active » à la date du jour si :          ** sa date de première mise en œuvre est renseignée et inférieure ou égale à la date du jour;          ** sa date d'échéance est supérieure ou égale à la date du jour.     ** Dans FINESS, les attributs peuvent être nommés de manière différente du SI source ARHGOS : dans ce cas, le synonyme FINESS de l’attribut est indiqué dans la colonne description.     ** De rares attributs sont spécifiques à FINESS.Le périmètre des autorisations des activités de soins présentes dans FINESS recouvre :1- Les autorisations en attente de première mise en œuvre : la date de début (i.e. date de première mise en œuvre) n'est pas renseignée ou supérieure à la date du jour;2- Les autorisations actives:      ** la date début (i.e. date de première mise en œuvre) est renseignée et inférieure ou égale à la date du jour,     ** la date de fin est supérieure ou égale à la date du jour;3- Les autorisations échues, dont la date de fin est inférieure à la date du jour, et qui couvrent plusieurs cas :     a- Le renouvellement est en cours d’instruction (cas le plus courant),     b- Un autre événement (injonction, changement d’implantation,…) est en cours d’instruction au vu du dossier,     c- L’autorisation va devenir caduque, après quoi elle ne sera plus présente dans FINESS;     Dans chacun des 3 cas (a, b, c), la mise à jour dans les bases de données va avoir lieu (SI ARHGOS > SI FINESS > service de publication annuaire santé de l'ANS).     En attendant la mise à jour des bases de données, il est possible de considérer les autorisations échues présentes dans FINESS comme toujours actives.     Les autorisations caduques ou retirées ne sont pas présentes dans FINESS.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ActiviteSoinAutorisee","ActiviteSoinAutorisee.numeroAutorisationARHGOS","ActiviteSoinAutorisee.numeroAutorisationARHGOS","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant fonctionnel, numéro d'autorisation ARHGOS.","Identifiant fonctionnel, numéro d'autorisation ARHGOS.","","","","","","","","","",,,,,"",,,,"ActiviteSoinAutorisee.numeroAutorisationARHGOS",0,1,"",""
"ActiviteSoinAutorisee","ActiviteSoinAutorisee.dateDecision","ActiviteSoinAutorisee.dateDecision","","","",0,1,"","","","date {[]} {[]}
","Date de décision du Directeur Général de l’ARS (date de l’arrête d’autorisation). Il s’agit donc de la date de délivrance de l’autorisation de l’activité de soins.Synonyme FINESS : date d’autorisation","Date de décision du Directeur Général de l’ARS (date de l’arrête d’autorisation). Il s’agit donc de la date de délivrance de l’autorisation de l’activité de soins.Synonyme FINESS : date d’autorisation","","","","","","","","","",,,,,"",,,,"ActiviteSoinAutorisee.dateDecision",0,1,"",""
"ActiviteSoinAutorisee","ActiviteSoinAutorisee.activite","ActiviteSoinAutorisee.activite","","","",0,1,"","","","Coding {[]} {[]}
","Code définissant l'activité de soins autorisée -AS- (article L.6122-1 du CSP), la liste des activités de soins soumises à autorisation est fixée par décret en Conseil d'Etat (article L.6122-25 du CSP).","Code définissant l'activité de soins autorisée -AS- (article L.6122-1 du CSP), la liste des activités de soins soumises à autorisation est fixée par décret en Conseil d'Etat (article L.6122-25 du CSP).","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R274-ActiviteSanitaireRegulee/FHIR/TRE-R274-ActiviteSanitaireRegulee?vs","",,,,"ActiviteSoinAutorisee.activite",0,1,"",""
"ActiviteSoinAutorisee","ActiviteSoinAutorisee.modalite","ActiviteSoinAutorisee.modalite","","","",0,1,"","","","Coding {[]} {[]}
","Les modalités sont des modes d’application ou des types de soins prévus par les textes réglementaires encadrant chaque activité de soins. Ce sont des pratiques thérapeutiques. Une activité de soins peut ou non avoir des modalités (dans ce cas, le code de la modalité est ""00""). Les modalités peuvent être communes à plusieurs activités de soins ou spécifiques à une seule.","Les modalités sont des modes d’application ou des types de soins prévus par les textes réglementaires encadrant chaque activité de soins. Ce sont des pratiques thérapeutiques. Une activité de soins peut ou non avoir des modalités (dans ce cas, le code de la modalité est ""00""). Les modalités peuvent être communes à plusieurs activités de soins ou spécifiques à une seule.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R275-ModaliteActivite/FHIR/TRE-R275-ModaliteActivite?vs","",,,,"ActiviteSoinAutorisee.modalite",0,1,"",""
"ActiviteSoinAutorisee","ActiviteSoinAutorisee.forme","ActiviteSoinAutorisee.forme","","","",0,1,"","","","Coding {[]} {[]}
","Une forme est un type d’organisation de prise en charge (exemples: hospitalisation à temps complet, hospitalisation à domicile, chirurgie ambulatoire, etc.).","Une forme est un type d’organisation de prise en charge (exemples: hospitalisation à temps complet, hospitalisation à domicile, chirurgie ambulatoire, etc.).","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R276-FormeActivite/FHIR/TRE-R276-FormeActivite?vs","",,,,"ActiviteSoinAutorisee.forme",0,1,"",""
"ActiviteSoinAutorisee","ActiviteSoinAutorisee.datePremiereMEO","ActiviteSoinAutorisee.datePremiereMEO","","","",0,1,"","","","date {[]} {[]}
","Date de première mise en œuvre de l’activité de soins. Elle doit être postérieure ou égale à la date de décision.Synonyme FINESS : date de mise en œuvre","Date de première mise en œuvre de l’activité de soins. Elle doit être postérieure ou égale à la date de décision.Synonyme FINESS : date de mise en œuvre","","","","","","","","","",,,,,"",,,,"ActiviteSoinAutorisee.datePremiereMEO",0,1,"",""
"ActiviteSoinAutorisee","ActiviteSoinAutorisee.dateFin","ActiviteSoinAutorisee.dateFin","","","",0,1,"","","","date {[]} {[]}
","Date d'échéance de l'autorisation.Synonyme FINESS : date de fin de mise en œuvre","Date d'échéance de l'autorisation.Synonyme FINESS : date de fin de mise en œuvre","","","","","","","","","",,,,,"",,,,"ActiviteSoinAutorisee.dateFin",0,1,"",""
"ActiviteSoinAutorisee","ActiviteSoinAutorisee.suppressionAutorisation","ActiviteSoinAutorisee.suppressionAutorisation","","","",0,1,"","","","boolean {[]} {[]}
","Indicateur de suppression de l'autorisation de l'activité de soins.Donnée propre à FINESS.","Indicateur de suppression de l'autorisation de l'activité de soins.Donnée propre à FINESS.","","","","","","","","","",,,,,"",,,,"ActiviteSoinAutorisee.suppressionAutorisation",0,1,"",""
